No.,Date,Year,Location,Name,Species,Diameter (mm),Notes (injury)
111,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,200,0
112,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,50,0
113,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,95,0
114,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,65,0
115,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,370,0
116,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,135,0
117,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,100,0
118,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,215,0
119,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,85,0
120,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,75,0
121,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,105,0
122,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,95,0
123,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,320,0
124,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,125,0
125,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,75,0
126,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,260,0
127,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,100,0
128,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,310,0
129,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,175,0
130,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,245,0
131,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,225,0
132,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,340,0
133,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,215,0
134,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,290,0
135,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,260,0
136,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,245,0
137,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,235,0
138,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,180,0
139,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,180,0
140,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,130,0
141,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,235,0
142,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,220,0
143,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,225,0
144,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,60,0
145,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,75,0
146,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,150,Bleached
147,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,180,Pale
148,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,155,0
149,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,105,0
150,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,245,0
151,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,150,0
152,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,255,0
153,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,200,0
154,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,240,0
155,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,180,0
156,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,65,0
157,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,225,0
158,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,275,0
159,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,345,10
160,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,280,0
161,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,150,10
162,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,95,0
163,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,170,0
164,Feb-20,2020,Mermaid Mooring - Lizard,Morgan Pratchett,Acropora cf. hyacinthus,140,10
